order_id,customer_id,order_date,order_status,total_amount,payment_method
ORD-000028,CUS-00186,2022-08-13 00:00:00,delivered,414.98,credit_card
ORD-000029,CUS-00387,2022-02-18 00:00:00,cancelled,101.07,bank_transfer
ORD-000030,CUS-00082,2024-03-22 00:00:00,pending,346.4,credit_card
ORD-000031,CUS-00198,2023-01-26 00:00:00,processing,796.96,debit_card
ORD-000032,CUS-00129,2023-07-21 00:00:00,cancelled,754.81,bank_transfer
ORD-000033,CUS-00370,2022-04-28 00:00:00,pending,709.56,apple_pay
ORD-000034,CUS-00137,2024-02-27 00:00:00,pending,282.04,credit_card
ORD-000035,CUS-00223,2022-06-11 00:00:00,shipped,17.55,bank_transfer
ORD-000036,CUS-00449,2024-01-07 00:00:00,delivered,777.93,apple_pay
ORD-000037,CUS-00092,2023-06-04 00:00:00,delivered,698.36,credit_card
ORD-000038,CUS-00431,2023-10-17 00:00:00,processing,493.04,credit_card
ORD-000039,CUS-00192,2024-02-20 00:00:00,delivered,438.41,apple_pay
ORD-000040,CUS-00473,2023-06-28 00:00:00,delivered,485.17,paypal
ORD-000041,CUS-00010,2022-04-25 00:00:00,delivered,704.8,apple_pay
ORD-000042,CUS-00414,2022-11-11 00:00:00,delivered,60.47,debit_card
ORD-000043,CUS-00485,2022-03-22 00:00:00,delivered,589.55,apple_pay
ORD-000044,CUS-00036,2024-02-18 00:00:00,processing,616.18,credit_card
ORD-000045,CUS-00338,2023-05-02 00:00:00,processing,144.62,debit_card
ORD-000046,CUS-00447,2023-09-14 00:00:00,shipped,772.02,debit_card
ORD-000047,CUS-00387,2024-01-18 00:00:00,pending,172.9,credit_card
ORD-000048,CUS-00205,2023-11-19 00:00:00,pending,308.14,debit_card
ORD-000049,CUS-00232,2022-05-04 00:00:00,delivered,191.39,credit_card
ORD-000050,CUS-00011,2023-08-26 00:00:00,processing,195.64,credit_card
ORD-000051,CUS-00004,2022-03-14 00:00:00,pending,510.42,credit_card
ORD-000052,CUS-00035,2022-02-02 00:00:00,cancelled,274.39,debit_card
ORD-000053,CUS-00122,2022-10-13 00:00:00,pending,396.05,debit_card
ORD-000054,CUS-00068,2024-01-11 00:00:00,processing,467.33,credit_card
ORD-000055,CUS-00402,2023-04-30 00:00:00,cancelled,334.54,credit_card
ORD-000056,CUS-00050,2023-11-06 00:00:00,shipped,293.12,paypal
ORD-000057,CUS-00240,2024-06-03 00:00:00,pending,57.52,bank_transfer
ORD-000058,CUS-00331,2022-04-11 00:00:00,delivered,331.06,credit_card
ORD-000059,CUS-00410,2024-06-01 00:00:00,delivered,210.2,credit_card
ORD-000060,CUS-00275,2023-04-05 00:00:00,delivered,346.18,credit_card
ORD-000061,CUS-00237,2022-09-13 00:00:00,cancelled,739.76,paypal
ORD-000062,CUS-00414,2024-06-01 00:00:00,cancelled,447.01,credit_card
ORD-000063,CUS-00334,2023-07-08 00:00:00,cancelled,26.58,credit_card
ORD-000064,CUS-00475,2024-02-11 00:00:00,cancelled,200.56,paypal
ORD-000065,CUS-00249,2023-05-08 00:00:00,delivered,693.75,credit_card
ORD-000066,CUS-00085,2023-01-24 00:00:00,delivered,788.47,credit_card
ORD-000067,CUS-00475,2024-03-13 00:00:00,cancelled,372.18,paypal
ORD-000068,CUS-00357,2024-01-19 00:00:00,cancelled,451.28,bank_transfer
ORD-000069,CUS-00250,2022-06-08 00:00:00,delivered,247.92,credit_card
ORD-000070,CUS-00297,2024-01-24 00:00:00,processing,62.85,credit_card
ORD-000071,CUS-00030,2022-02-21 00:00:00,processing,389.28,apple_pay
ORD-000072,CUS-00272,2022-06-11 00:00:00,delivered,769.21,credit_card
ORD-000073,CUS-00436,2022-07-10 00:00:00,delivered,482.1,bank_transfer
ORD-000074,CUS-00442,2022-08-29 00:00:00,shipped,109.11,debit_card
ORD-000075,CUS-00127,2023-08-16 00:00:00,processing,46.2,credit_card
ORD-000076,CUS-00215,2023-11-05 00:00:00,processing,458.7,credit_card
ORD-000077,CUS-00479,2022-09-25 00:00:00,delivered,540.73,credit_card
ORD-000078,CUS-00123,2022-09-29 00:00:00,shipped,117.74,bank_transfer
ORD-000079,CUS-00154,2023-04-14 00:00:00,delivered,744.28,credit_card
ORD-000080,CUS-00005,2023-04-15 00:00:00,processing,798.79,credit_card
ORD-000081,CUS-00038,2023-07-05 00:00:00,delivered,412.12,credit_card
ORD-000082,CUS-00478,2022-12-24 00:00:00,delivered,705.23,credit_card
ORD-000083,CUS-00146,2022-06-11 00:00:00,shipped,669.49,bank_transfer
ORD-000084,CUS-00155,2023-09-19 00:00:00,cancelled,528.37,credit_card
ORD-000085,CUS-00342,2024-04-16 00:00:00,processing,250.01,bank_transfer
ORD-000086,CUS-00054,2024-06-18 00:00:00,delivered,222.61,credit_card
ORD-000087,CUS-00381,2023-07-21 00:00:00,delivered,228.79,debit_card
ORD-000088,CUS-00108,2024-01-05 00:00:00,delivered,174.82,bank_transfer
ORD-000089,CUS-00437,2022-09-28 00:00:00,processing,398.5,apple_pay
ORD-000090,CUS-00027,2022-04-05 00:00:00,pending,347.51,credit_card
ORD-000091,CUS-00023,2022-01-04 00:00:00,delivered,620.33,bank_transfer
ORD-000092,CUS-00135,2022-06-15 00:00:00,pending,361.84,bank_transfer
ORD-000093,CUS-00219,2023-07-29 00:00:00,delivered,102.82,bank_transfer
ORD-000094,CUS-00463,2022-06-02 00:00:00,processing,43.28,credit_card
ORD-000095,CUS-00299,2023-07-20 00:00:00,delivered,352.38,credit_card
ORD-000096,CUS-00158,2023-01-09 00:00:00,cancelled,778.17,credit_card
ORD-000097,CUS-00461,2023-01-02 00:00:00,delivered,550.42,bank_transfer
ORD-000098,CUS-00053,2022-12-29 00:00:00,cancelled,454.51,apple_pay
ORD-000099,CUS-00209,2023-09-28 00:00:00,pending,136.32,credit_card
ORD-000100,CUS-00443,2022-06-16 00:00:00,cancelled,651.46,paypal
ORD-000101,CUS-00013,2022-07-03 00:00:00,pending,740.72,apple_pay
ORD-000102,CUS-00477,2023-02-26 00:00:00,cancelled,540.88,bank_transfer
ORD-000103,CUS-00416,2022-09-12 00:00:00,delivered,139.97,bank_transfer
ORD-000104,CUS-00056,2023-01-27 00:00:00,cancelled,45.4,paypal
ORD-000105,CUS-00114,2022-07-24 00:00:00,cancelled,735.98,credit_card
ORD-000106,CUS-00157,2024-04-20 00:00:00,cancelled,698.99,credit_card
ORD-000107,CUS-00013,2023-11-07 00:00:00,delivered,327.8,credit_card
ORD-000108,CUS-00443,2022-03-13 00:00:00,cancelled,234.11,bank_transfer
ORD-000109,CUS-00261,2023-02-14 00:00:00,pending,785.2,debit_card
ORD-000110,CUS-00170,2022-01-29 00:00:00,delivered,703.48,credit_card
ORD-000111,CUS-00092,2023-08-18 00:00:00,delivered,45.03,debit_card
ORD-000112,CUS-00223,2022-12-20 00:00:00,pending,632.35,paypal
ORD-000113,CUS-00311,2023-06-08 00:00:00,delivered,317.38,debit_card
ORD-000114,CUS-00098,2022-09-18 00:00:00,delivered,571.4,credit_card
ORD-000115,CUS-00267,2024-04-05 00:00:00,processing,554.18,bank_transfer
ORD-000116,CUS-00378,2023-11-18 00:00:00,delivered,300.91,credit_card
ORD-000117,CUS-00486,2023-11-12 00:00:00,delivered,504.18,bank_transfer
ORD-000118,CUS-00435,2022-05-08 00:00:00,pending,721.54,debit_card
ORD-000119,CUS-00159,2023-11-14 00:00:00,shipped,271.05,bank_transfer
ORD-000120,CUS-00152,2023-07-22 00:00:00,delivered,165.59,bank_transfer
ORD-000121,CUS-00482,2023-01-24 00:00:00,pending,602.29,credit_card
ORD-000122,CUS-00316,2023-08-06 00:00:00,delivered,333.77,apple_pay
ORD-000123,CUS-00001,2022-11-08 00:00:00,delivered,179.99,apple_pay
ORD-000124,CUS-00297,2023-09-14 00:00:00,pending,267.97,paypal
ORD-000125,CUS-00227,2023-11-23 00:00:00,delivered,416.27,apple_pay
ORD-000126,CUS-00462,2024-03-26 00:00:00,pending,148.21,credit_card
ORD-000127,CUS-00146,2023-06-12 00:00:00,pending,511.86,credit_card
ORD-000128,CUS-00048,2024-04-18 00:00:00,cancelled,199.37,credit_card
ORD-000129,CUS-00116,2024-04-05 00:00:00,delivered,130.67,credit_card
ORD-000130,CUS-00126,2023-05-02 00:00:00,processing,682.04,credit_card
ORD-000131,CUS-00234,2023-03-01 00:00:00,pending,466.9,bank_transfer
ORD-000132,CUS-00357,2023-01-29 00:00:00,shipped,328.73,credit_card
ORD-000133,CUS-00336,2023-12-06 00:00:00,delivered,715.74,apple_pay
ORD-000134,CUS-00395,2024-06-25 00:00:00,delivered,626.06,credit_card
ORD-000135,CUS-00091,2024-04-03 00:00:00,pending,421.6,credit_card
ORD-000136,CUS-00286,2022-09-13 00:00:00,cancelled,110.27,credit_card
ORD-000137,CUS-00411,2023-04-21 00:00:00,pending,431.94,debit_card
ORD-000138,CUS-00305,2022-11-21 00:00:00,cancelled,714.77,debit_card
ORD-000139,CUS-00418,2024-01-07 00:00:00,processing,349.99,debit_card
ORD-000140,CUS-00229,2022-06-12 00:00:00,pending,691.27,paypal
ORD-000141,CUS-00133,2024-02-09 00:00:00,delivered,674.29,credit_card
ORD-000142,CUS-00393,2024-03-07 00:00:00,processing,395.41,credit_card
ORD-000143,CUS-00141,2023-03-27 00:00:00,delivered,575.13,credit_card
ORD-000144,CUS-00140,2022-12-10 00:00:00,delivered,716.03,credit_card
ORD-000145,CUS-00071,2022-06-04 00:00:00,delivered,315.68,credit_card
ORD-000146,CUS-00362,2022-08-08 00:00:00,delivered,340.67,credit_card
ORD-000147,CUS-00278,2023-04-23 00:00:00,shipped,63.88,apple_pay
ORD-000148,CUS-00216,2023-02-03 00:00:00,cancelled,473.5,bank_transfer
ORD-000149,CUS-00011,2024-05-27 00:00:00,cancelled,466.92,paypal
ORD-000150,CUS-00004,2022-12-27 00:00:00,delivered,606.48,apple_pay
ORD-000151,CUS-00457,2024-05-05 00:00:00,shipped,437.5,bank_transfer
ORD-000152,CUS-00280,2024-03-30 00:00:00,processing,719.78,paypal
ORD-000153,CUS-00113,2022-10-07 00:00:00,shipped,396.23,paypal
ORD-000154,CUS-00173,2023-11-16 00:00:00,pending,641.54,bank_transfer
ORD-000155,CUS-00085,2024-05-10 00:00:00,shipped,736.84,debit_card
ORD-000156,CUS-00274,2022-01-28 00:00:00,shipped,479.64,bank_transfer
ORD-000157,CUS-00014,2022-03-27 00:00:00,pending,351.46,apple_pay
ORD-000158,CUS-00237,2022-07-06 00:00:00,delivered,219.22,credit_card
ORD-000159,CUS-00109,2023-04-11 00:00:00,delivered,279.94,paypal
ORD-000160,CUS-00143,2024-02-10 00:00:00,cancelled,345.93,apple_pay
ORD-000161,CUS-00042,2023-04-27 00:00:00,delivered,602.98,credit_card
ORD-000162,CUS-00488,2022-12-25 00:00:00,delivered,525.36,apple_pay
ORD-000163,CUS-00491,2023-10-30 00:00:00,delivered,607.07,credit_card
ORD-000164,CUS-00103,2024-05-09 00:00:00,delivered,502.75,credit_card
ORD-000165,CUS-00065,2023-04-30 00:00:00,pending,104.8,credit_card
ORD-000166,CUS-00239,2023-12-18 00:00:00,delivered,617.02,credit_card
ORD-000167,CUS-00311,2023-09-14 00:00:00,pending,578.91,apple_pay
ORD-000168,CUS-00420,2022-06-17 00:00:00,delivered,99.86,credit_card
ORD-000169,CUS-00476,2022-11-16 00:00:00,processing,546.72,paypal
ORD-000170,CUS-00204,2024-01-03 00:00:00,delivered,74.66,bank_transfer
ORD-000171,CUS-00426,2023-10-05 00:00:00,delivered,94.99,apple_pay
ORD-000172,CUS-00155,2024-05-20 00:00:00,pending,486.32,credit_card
ORD-000173,CUS-00408,2023-08-03 00:00:00,cancelled,47.24,debit_card
ORD-000174,CUS-00220,2023-11-09 00:00:00,delivered,69.13,bank_transfer
ORD-000175,CUS-00175,2022-01-13 00:00:00,cancelled,344.75,paypal
ORD-000176,CUS-00055,2023-03-20 00:00:00,delivered,513.93,apple_pay
ORD-000177,CUS-00236,2023-12-26 00:00:00,delivered,356.86,bank_transfer
ORD-000178,CUS-00268,2023-10-29 00:00:00,delivered,498.49,debit_card
ORD-000179,CUS-00397,2023-05-11 00:00:00,shipped,356.93,bank_transfer
ORD-000180,CUS-00304,2022-10-02 00:00:00,delivered,683.59,apple_pay
ORD-000181,CUS-00479,2022-03-30 00:00:00,delivered,707.08,credit_card
ORD-000182,CUS-00385,2023-04-21 00:00:00,processing,494.11,paypal
ORD-000183,CUS-00173,2022-01-30 00:00:00,shipped,683.0,credit_card
ORD-000184,CUS-00250,2022-08-06 00:00:00,delivered,641.3,credit_card
ORD-000185,CUS-00144,2024-06-20 00:00:00,processing,565.43,credit_card
ORD-000186,CUS-00285,2022-01-11 00:00:00,processing,759.23,credit_card
ORD-000187,CUS-00124,2024-01-08 00:00:00,shipped,398.53,apple_pay
ORD-000188,CUS-00124,2023-12-09 00:00:00,shipped,522.03,paypal
ORD-000189,CUS-00230,2024-03-22 00:00:00,delivered,88.05,credit_card
ORD-000190,CUS-00208,2023-12-10 00:00:00,delivered,255.37,debit_card
ORD-000191,CUS-00189,2023-04-30 00:00:00,processing,431.77,paypal
ORD-000192,CUS-00382,2023-07-18 00:00:00,delivered,291.17,paypal
ORD-000193,CUS-00139,2022-11-10 00:00:00,delivered,195.97,bank_transfer
ORD-000194,CUS-00099,2022-11-20 00:00:00,delivered,598.16,apple_pay
ORD-000195,CUS-00354,2022-07-09 00:00:00,delivered,184.86,paypal
ORD-000196,CUS-00142,2024-01-12 00:00:00,processing,781.64,debit_card
ORD-000197,CUS-00306,2022-10-17 00:00:00,delivered,668.61,credit_card
ORD-000198,CUS-00117,2023-01-05 00:00:00,delivered,252.28,bank_transfer
ORD-000199,CUS-00274,2022-05-10 00:00:00,delivered,50.73,credit_card
ORD-000200,CUS-00284,2022-10-27 00:00:00,pending,756.11,bank_transfer
ORD-000201,CUS-00445,2024-02-10 00:00:00,shipped,95.53,credit_card
ORD-000202,CUS-00294,2022-10-19 00:00:00,shipped,390.79,credit_card
ORD-000203,CUS-00095,2022-02-22 00:00:00,delivered,753.73,paypal
ORD-000204,CUS-00059,2024-04-21 00:00:00,delivered,329.56,credit_card
ORD-000205,CUS-00296,2023-10-07 00:00:00,pending,57.08,credit_card
ORD-000206,CUS-00416,2023-07-31 00:00:00,delivered,81.87,credit_card
ORD-000207,CUS-00061,2023-07-26 00:00:00,cancelled,341.7,debit_card
ORD-000208,CUS-00405,2023-09-26 00:00:00,delivered,623.92,paypal
ORD-000209,CUS-00231,2023-03-30 00:00:00,delivered,690.23,paypal
ORD-000210,CUS-00157,2023-08-06 00:00:00,processing,62.28,bank_transfer
ORD-000211,CUS-00051,2024-02-21 00:00:00,delivered,506.03,credit_card
ORD-000212,CUS-00339,2022-03-25 00:00:00,delivered,203.29,debit_card
ORD-000213,CUS-00039,2022-06-10 00:00:00,delivered,335.69,bank_transfer
ORD-000214,CUS-00305,2023-04-27 00:00:00,delivered,40.62,credit_card
ORD-000215,CUS-00362,2022-10-17 00:00:00,pending,689.79,credit_card
ORD-000216,CUS-00352,2022-08-28 00:00:00,delivered,633.45,bank_transfer
ORD-000217,CUS-00302,2023-11-09 00:00:00,cancelled,747.93,paypal
ORD-000218,CUS-00059,2023-07-12 00:00:00,delivered,523.39,credit_card
ORD-000219,CUS-00424,2022-05-26 00:00:00,delivered,61.82,apple_pay
ORD-000220,CUS-00158,2023-09-02 00:00:00,pending,662.03,credit_card
ORD-000221,CUS-00225,2022-05-08 00:00:00,shipped,555.61,bank_transfer
ORD-000222,CUS-00207,2022-10-06 00:00:00,processing,438.89,paypal
ORD-000223,CUS-00042,2023-09-05 00:00:00,delivered,713.2,bank_transfer
ORD-000224,CUS-00166,2023-09-11 00:00:00,delivered,35.3,credit_card
ORD-000225,CUS-00493,2023-11-22 00:00:00,cancelled,690.51,debit_card
ORD-000226,CUS-00487,2022-01-22 00:00:00,cancelled,542.74,credit_card
ORD-000227,CUS-00296,2022-02-11 00:00:00,cancelled,608.67,paypal
ORD-000228,CUS-00266,2023-10-30 00:00:00,shipped,734.12,credit_card
ORD-000229,CUS-00300,2023-03-23 00:00:00,pending,654.18,credit_card
ORD-000230,CUS-00241,2022-12-23 00:00:00,shipped,276.65,bank_transfer
ORD-000231,CUS-00054,2024-05-28 00:00:00,delivered,273.9,bank_transfer
ORD-000232,CUS-00254,2022-10-23 00:00:00,pending,756.98,apple_pay
ORD-000233,CUS-00390,2023-07-18 00:00:00,delivered,372.04,credit_card
ORD-000234,CUS-00130,2022-11-28 00:00:00,delivered,776.6,paypal
ORD-000235,CUS-00443,2023-06-11 00:00:00,cancelled,790.67,bank_transfer
ORD-000236,CUS-00446,2023-07-10 00:00:00,shipped,339.4,credit_card
ORD-000237,CUS-00266,2023-01-06 00:00:00,processing,608.81,bank_transfer
ORD-000238,CUS-00227,2024-02-18 00:00:00,delivered,174.79,debit_card
ORD-000239,CUS-00068,2022-10-22 00:00:00,shipped,706.46,paypal
ORD-000240,CUS-00063,2022-01-30 00:00:00,pending,492.96,credit_card
ORD-000241,CUS-00364,2022-06-12 00:00:00,delivered,447.41,debit_card
ORD-000242,CUS-00209,2022-04-06 00:00:00,delivered,793.92,credit_card
ORD-000243,CUS-00237,2022-05-01 00:00:00,pending,668.23,paypal
ORD-000244,CUS-00478,2024-01-04 00:00:00,delivered,414.46,credit_card
ORD-000245,CUS-00213,2024-05-04 00:00:00,shipped,784.49,credit_card
ORD-000246,CUS-00234,2023-07-19 00:00:00,delivered,316.12,debit_card
ORD-000247,CUS-00261,2024-02-04 00:00:00,delivered,693.26,credit_card
ORD-000248,CUS-00396,2024-03-19 00:00:00,cancelled,340.73,apple_pay
ORD-000249,CUS-00260,2022-10-01 00:00:00,cancelled,17.01,bank_transfer
ORD-000250,CUS-00153,2024-05-07 00:00:00,processing,470.24,bank_transfer
ORD-000251,CUS-00251,2024-06-05 00:00:00,delivered,365.54,paypal
ORD-000252,CUS-00177,2022-12-07 00:00:00,processing,613.86,paypal
ORD-000253,CUS-00234,2022-11-26 00:00:00,cancelled,163.09,bank_transfer
ORD-000254,CUS-00123,2023-08-09 00:00:00,shipped,198.35,apple_pay
ORD-000255,CUS-00211,2022-02-14 00:00:00,delivered,599.59,bank_transfer
ORD-000256,CUS-00468,2024-04-10 00:00:00,shipped,318.07,bank_transfer
ORD-000257,CUS-00406,2024-04-20 00:00:00,pending,784.94,paypal
ORD-000258,CUS-00494,2022-02-07 00:00:00,delivered,409.3,debit_card
ORD-000259,CUS-00170,2024-06-09 00:00:00,delivered,701.24,paypal
ORD-000260,CUS-00052,2023-06-23 00:00:00,shipped,27.05,credit_card
ORD-000261,CUS-00210,2024-06-10 00:00:00,pending,776.42,credit_card
ORD-000262,CUS-00241,2024-03-11 00:00:00,delivered,280.77,bank_transfer
ORD-000263,CUS-00204,2023-10-28 00:00:00,delivered,683.64,apple_pay
ORD-000264,CUS-00346,2024-05-29 00:00:00,processing,313.31,credit_card
ORD-000265,CUS-00321,2024-01-06 00:00:00,cancelled,398.04,debit_card
ORD-000266,CUS-00019,2023-09-25 00:00:00,delivered,199.29,bank_transfer
ORD-000267,CUS-00472,2022-10-22 00:00:00,delivered,601.21,paypal
ORD-000268,CUS-00051,2024-02-18 00:00:00,pending,567.55,credit_card
ORD-000269,CUS-00228,2022-06-20 00:00:00,pending,250.08,credit_card
ORD-000270,CUS-00024,2022-11-29 00:00:00,cancelled,59.05,credit_card
ORD-000271,CUS-00192,2023-03-18 00:00:00,delivered,206.69,paypal
ORD-000272,CUS-00290,2023-11-30 00:00:00,cancelled,156.34,credit_card
ORD-000273,CUS-00041,2023-09-17 00:00:00,cancelled,315.3,bank_transfer
ORD-000274,CUS-00124,2023-05-25 00:00:00,processing,127.35,paypal
ORD-000275,CUS-00327,2022-09-18 00:00:00,shipped,215.43,credit_card
ORD-000276,CUS-00461,2024-04-03 00:00:00,shipped,722.45,bank_transfer
ORD-000277,CUS-00280,2022-06-11 00:00:00,delivered,361.76,credit_card
ORD-000278,CUS-00301,2022-11-03 00:00:00,pending,770.19,bank_transfer
ORD-000279,CUS-00129,2023-04-13 00:00:00,cancelled,252.17,paypal
ORD-000280,CUS-00437,2023-05-10 00:00:00,delivered,201.21,debit_card
ORD-000281,CUS-00184,2023-08-12 00:00:00,delivered,794.26,credit_card
ORD-000282,CUS-00012,2024-04-29 00:00:00,pending,325.71,credit_card
ORD-000283,CUS-00290,2024-06-04 00:00:00,pending,625.97,credit_card
ORD-000284,CUS-00467,2023-09-13 00:00:00,pending,404.93,credit_card
ORD-000285,CUS-00398,2024-03-29 00:00:00,delivered,491.55,credit_card
ORD-000286,CUS-00113,2023-10-14 00:00:00,delivered,502.4,bank_transfer
ORD-000287,CUS-00387,2024-01-09 00:00:00,cancelled,532.46,apple_pay
ORD-000288,CUS-00071,2023-10-06 00:00:00,delivered,724.17,bank_transfer
ORD-000289,CUS-00021,2022-11-13 00:00:00,cancelled,361.05,debit_card
ORD-000290,CUS-00187,2024-01-20 00:00:00,delivered,85.75,credit_card
ORD-000291,CUS-00168,2024-02-05 00:00:00,shipped,152.88,credit_card
ORD-000292,CUS-00403,2023-07-07 00:00:00,delivered,431.72,credit_card
ORD-000293,CUS-00426,2022-06-18 00:00:00,delivered,732.53,paypal
ORD-000294,CUS-00496,2024-04-05 00:00:00,delivered,601.05,credit_card
ORD-000295,CUS-00412,2022-04-28 00:00:00,shipped,770.87,credit_card
ORD-000296,CUS-00387,2022-08-20 00:00:00,cancelled,545.91,bank_transfer
ORD-000297,CUS-00204,2024-05-16 00:00:00,cancelled,452.49,credit_card
ORD-000298,CUS-00405,2023-02-09 00:00:00,delivered,222.6,credit_card
ORD-000299,CUS-00233,2023-01-13 00:00:00,pending,602.97,credit_card
ORD-000300,CUS-00300,2023-01-26 00:00:00,cancelled,516.26,credit_card
ORD-000301,CUS-00056,2023-11-23 00:00:00,delivered,385.11,debit_card
ORD-000302,CUS-00453,2023-07-29 00:00:00,delivered,733.48,credit_card
ORD-000303,CUS-00332,2022-03-06 00:00:00,pending,661.73,bank_transfer
ORD-000304,CUS-00155,2023-10-27 00:00:00,shipped,106.59,credit_card
ORD-000305,CUS-00485,2022-02-08 00:00:00,delivered,796.8,credit_card
ORD-000306,CUS-00050,2022-08-29 00:00:00,processing,121.5,paypal
ORD-000307,CUS-00190,2023-11-18 00:00:00,pending,561.74,debit_card
ORD-000308,CUS-00215,2023-08-25 00:00:00,pending,585.38,paypal
ORD-000309,CUS-00336,2022-04-12 00:00:00,cancelled,399.14,paypal
ORD-000310,CUS-00481,2022-10-14 00:00:00,delivered,556.87,credit_card
ORD-000311,CUS-00228,2023-04-01 00:00:00,delivered,686.53,credit_card
ORD-000312,CUS-00352,2023-01-12 00:00:00,processing,722.83,bank_transfer
ORD-000313,CUS-00184,2022-03-04 00:00:00,shipped,231.57,credit_card
ORD-000314,CUS-00486,2024-05-18 00:00:00,cancelled,371.95,bank_transfer
ORD-000315,CUS-00109,2023-10-20 00:00:00,pending,483.76,credit_card
ORD-000316,CUS-00026,2024-03-16 00:00:00,delivered,206.2,credit_card
ORD-000317,CUS-00403,2023-08-02 00:00:00,delivered,68.86,apple_pay
ORD-000318,CUS-00284,2022-08-01 00:00:00,processing,184.52,apple_pay
ORD-000319,CUS-00120,2022-12-03 00:00:00,cancelled,130.83,debit_card
ORD-000320,CUS-00002,2022-10-11 00:00:00,cancelled,787.46,credit_card
ORD-000321,CUS-00277,2022-09-14 00:00:00,cancelled,151.98,bank_transfer
ORD-000322,CUS-00444,2022-01-27 00:00:00,delivered,26.67,apple_pay
ORD-000323,CUS-00404,2022-09-01 00:00:00,processing,269.16,credit_card
ORD-000324,CUS-00136,2022-02-23 00:00:00,delivered,597.25,debit_card
ORD-000325,CUS-00059,2024-02-03 00:00:00,delivered,388.85,apple_pay
ORD-000326,CUS-00186,2023-06-10 00:00:00,processing,100.61,debit_card
ORD-000327,CUS-00114,2023-09-22 00:00:00,delivered,585.89,apple_pay
ORD-000328,CUS-00338,2023-06-18 00:00:00,delivered,374.56,credit_card
ORD-000329,CUS-00032,2023-05-06 00:00:00,cancelled,330.27,bank_transfer
ORD-000330,CUS-00056,2023-05-18 00:00:00,pending,729.12,credit_card
ORD-000331,CUS-00461,2022-03-24 00:00:00,delivered,492.51,credit_card
ORD-000332,CUS-00065,2022-10-09 00:00:00,processing,511.97,debit_card
ORD-000333,CUS-00365,2022-11-29 00:00:00,shipped,795.78,debit_card
ORD-000334,CUS-00151,2023-04-10 00:00:00,processing,490.26,credit_card
ORD-000335,CUS-00407,2023-12-20 00:00:00,delivered,684.44,bank_transfer
ORD-000336,CUS-00450,2024-02-27 00:00:00,processing,580.86,credit_card
ORD-000337,CUS-00221,2023-04-08 00:00:00,delivered,339.84,apple_pay
ORD-000338,CUS-00233,2023-02-13 00:00:00,shipped,587.75,credit_card
ORD-000339,CUS-00219,2022-11-17 00:00:00,pending,215.09,credit_card
ORD-000340,CUS-00352,2023-05-01 00:00:00,delivered,86.61,credit_card
ORD-000341,CUS-00048,2023-03-19 00:00:00,delivered,599.5,credit_card
ORD-000342,CUS-00416,2022-05-14 00:00:00,processing,62.09,debit_card
ORD-000343,CUS-00288,2022-12-04 00:00:00,pending,110.95,credit_card
ORD-000344,CUS-00448,2023-11-13 00:00:00,cancelled,347.01,bank_transfer
ORD-000345,CUS-00027,2022-10-22 00:00:00,processing,260.27,credit_card
ORD-000346,CUS-00296,2023-06-04 00:00:00,delivered,136.46,paypal
